Date,Open,High,Low,Close
07-09-2004,"2,405.80","2,429.35","2,398.45","2,424.20"
08-09-2004,"2,426.25","2,436.90","2,419.40","2,426.20"
09-09-2004,"2,426.25","2,432.45","2,402.90","2,416.20"
10-09-2004,"2,423.00","2,450.70","2,415.65","2,444.55"
13-09-2004,"2,442.90","2,480.40","2,442.90","2,459.90"
14-09-2004,"2,460.85","2,506.50","2,455.30","2,501.70"
15-09-2004,"2,502.70","2,512.20","2,470.20","2,480.45"
16-09-2004,"2,470.15","2,490.40","2,459.70","2,487.85"
17-09-2004,"2,489.50","2,493.00","2,470.25","2,483.45"
20-09-2004,"2,479.85","2,479.85","2,441.30","2,445.85"
21-09-2004,"2,447.85","2,502.90","2,443.55","2,498.80"
22-09-2004,"2,503.60","2,516.85","2,479.00","2,503.65"
23-09-2004,"2,493.80","2,493.80","2,447.00","2,452.95"
24-09-2004,"2,448.80","2,464.05","2,421.35","2,429.10"
27-09-2004,"2,430.75","2,439.75","2,411.00","2,430.55"
28-09-2004,"2,423.25","2,424.65","2,396.65","2,400.70"
29-09-2004,"2,410.20","2,448.65","2,401.85","2,445.25"
30-09-2004,"2,466.85","2,502.25","2,453.60","2,496.20"
01-10-2004,"2,495.95","2,537.70","2,495.95","2,527.80"
04-10-2004,"2,543.25","2,593.90","2,543.25","2,587.45"
05-10-2004,"2,599.35","2,609.50","2,577.25","2,594.55"
06-10-2004,"2,589.25","2,589.25","2,541.05","2,550.50"
07-10-2004,"2,557.50","2,589.35","2,548.35","2,580.25"
08-10-2004,"2,582.30","2,608.20","2,582.30","2,602.90"
09-10-2004,"2,603.10","2,607.20","2,591.55","2,598.00"
11-10-2004,"2,604.45","2,616.95","2,562.85","2,570.90"
12-10-2004,"2,592.50","2,619.30","2,566.25","2,577.00"
14-10-2004,"2,579.55","2,708.75","2,579.55","2,695.85"
15-10-2004,"2,709.65","2,725.70","2,649.65","2,659.60"
18-10-2004,"2,668.80","2,677.70","2,618.35","2,623.35"
19-10-2004,"2,638.15","2,658.65","2,627.85","2,652.85"
20-10-2004,"2,652.80","2,661.90","2,607.90","2,618.20"
21-10-2004,"2,629.10","2,638.20","2,590.45","2,606.90"
25-10-2004,"2,616.85","2,627.65","2,583.60","2,588.90"
26-10-2004,"2,588.70","2,629.70","2,522.65","2,622.20"
27-10-2004,"2,636.30","2,651.10","2,612.55","2,636.35"
28-10-2004,"2,656.30","2,709.05","2,656.30","2,703.00"
29-10-2004,"2,706.50","2,706.50","2,658.10","2,667.15"
01-11-2004,"2,661.30","2,689.00","2,640.80","2,681.40"
02-11-2004,"2,677.30","2,682.60","2,656.95","2,670.55"
03-11-2004,"2,673.95","2,753.80","2,673.95","2,737.60"
04-11-2004,"2,745.30","2,786.20","2,736.65","2,744.50"
05-11-2004,"2,793.90","2,805.85","2,733.45","2,759.30"
08-11-2004,"2,772.50","2,815.05","2,770.55","2,773.90"
09-11-2004,"2,769.15","2,802.45","2,764.40","2,791.85"
10-11-2004,"2,790.50","2,815.45","2,779.75","2,809.25"
11-11-2004,"2,798.70","2,809.45","2,784.25","2,789.75"
12-11-2004,"2,808.95","2,811.65","2,780.40","2,792.55"
16-11-2004,"2,790.95","2,832.95","2,790.95","2,828.35"
17-11-2004,"2,827.50","2,860.20","2,819.00","2,856.50"
18-11-2004,"2,854.85","2,879.25","2,834.95","2,873.60"
19-11-2004,"2,873.35","2,881.80","2,841.55","2,847.25"
22-11-2004,"2,836.90","2,836.90","2,795.50","2,823.85"
23-11-2004,"2,824.85","2,862.35","2,824.85","2,842.70"
24-11-2004,"2,840.05","2,852.80","2,834.40","2,843.70"
25-11-2004,"2,843.75","2,885.50","2,843.75","2,879.40"
29-11-2004,"2,863.55","2,960.60","2,863.55","2,955.95"
30-11-2004,"2,960.50","3,013.80","2,960.50","2,996.50"
01-12-2004,"2,997.05","3,002.95","2,944.55","2,961.40"
02-12-2004,"2,967.15","3,007.05","2,941.45","2,951.00"
03-12-2004,"2,951.50","2,953.75","2,904.05","2,914.65"
06-12-2004,"2,921.25","2,938.20","2,876.25","2,888.20"
07-12-2004,"2,868.80","2,928.20","2,868.80","2,910.05"
08-12-2004,"2,905.10","2,905.10","2,860.60","2,865.85"
09-12-2004,"2,865.70","2,897.95","2,861.60","2,871.25"
10-12-2004,"2,873.80","2,898.80","2,872.50","2,880.55"
13-12-2004,"2,878.90","2,896.50","2,878.90","2,887.55"
14-12-2004,"2,879.35","2,909.20","2,879.35","2,906.95"
15-12-2004,"2,909.70","2,978.90","2,909.70","2,961.40"
16-12-2004,"2,963.55","2,990.80","2,949.35","2,984.20"
17-12-2004,"2,984.35","2,989.10","2,943.75","2,952.85"
20-12-2004,"2,944.55","2,992.10","2,944.05","2,987.00"
21-12-2004,"2,990.15","3,012.65","2,979.90","2,994.95"
22-12-2004,"2,963.25","3,004.25","2,921.70","2,941.45"
23-12-2004,"2,911.60","2,951.85","2,911.60","2,922.00"
24-12-2004,"2,926.40","2,951.60","2,900.55","2,939.55"
27-12-2004,"2,935.80","2,952.70","2,917.60","2,924.15"
28-12-2004,"2,926.00","2,945.50","2,916.70","2,931.70"
29-12-2004,"2,940.30","2,975.50","2,926.00","2,936.35"
30-12-2004,"2,939.70","2,948.80","2,887.00","2,896.55"
31-12-2004,"2,897.85","2,941.65","2,891.45","2,936.90"
03-01-2005,"3,088.20","3,088.20","2,940.85","2,969.40"
04-01-2005,"2,969.70","2,978.20","2,925.65","2,949.10"
05-01-2005,"2,936.75","2,938.90","2,804.30","2,847.50"
06-01-2005,"2,841.05","2,862.95","2,768.95","2,803.80"
07-01-2005,"2,799.40","2,838.90","2,776.05","2,827.00"
10-01-2005,"2,843.75","2,846.10","2,740.25","2,752.05"
11-01-2005,"2,755.35","2,770.95","2,716.25","2,726.05"
12-01-2005,"2,727.15","2,773.30","2,615.10","2,635.65"
13-01-2005,"2,678.75","2,722.05","2,667.20","2,710.20"
14-01-2005,"2,710.65","2,725.50","2,666.55","2,692.75"
